 57 - 2024-07-18 12:56:17,186 - root - INFO - Attempting to fetch data from URL:- http://54.69.206.64/ipdiversity.html 
 110 - 2024-07-18 12:56:17,689 - root - ERROR - Error fetching URL http://54.69.206.64/ipdiversity.html: 404 Client Error: Not Found for url: http://54.69.206.64/ipdiversity.html 
 110 - 2024-07-18 12:56:18,181 - root - ERROR - Error fetching URL http://54.69.206.64/ipdiversity.html: 404 Client Error: Not Found for url: http://54.69.206.64/ipdiversity.html 
 110 - 2024-07-18 12:56:18,658 - root - ERROR - Error fetching URL http://54.69.206.64/ipdiversity.html: 404 Client Error: Not Found for url: http://54.69.206.64/ipdiversity.html 
 112 - 2024-07-18 12:56:18,658 - root - ERROR - Not found IP: 54.69.206.64 after 3 attempts 
 57 - 2024-07-18 12:56:18,658 - root - INFO - Attempting to fetch data from URL:- http://54.245.83.226/ipdiversity.html 
 110 - 2024-07-18 12:56:19,137 - root - ERROR - Error fetching URL http://54.245.83.226/ipdiversity.html: 404 Client Error: Not Found for url: http://54.245.83.226/ipdiversity.html 
 110 - 2024-07-18 12:56:19,630 - root - ERROR - Error fetching URL http://54.245.83.226/ipdiversity.html: 404 Client Error: Not Found for url: http://54.245.83.226/ipdiversity.html 
 110 - 2024-07-18 12:56:20,116 - root - ERROR - Error fetching URL http://54.245.83.226/ipdiversity.html: 404 Client Error: Not Found for url: http://54.245.83.226/ipdiversity.html 
 112 - 2024-07-18 12:56:20,117 - root - ERROR - Not found IP: 54.245.83.226 after 3 attempts 
 57 - 2024-07-18 12:56:20,117 - root - INFO - Attempting to fetch data from URL:- http://52.1.132.53/ipdiversity.html 
 94 - 2024-07-18 12:56:20,557 - root - WARNING - table data not found for 52.1.132.53 
 57 - 2024-07-18 12:56:20,557 - root - INFO - Attempting to fetch data from URL:- http://52.3.1.24/ipdiversity.html 
 94 - 2024-07-18 12:56:20,991 - root - WARNING - table data not found for 52.3.1.24 
 57 - 2024-07-18 12:56:20,991 - root - INFO - Attempting to fetch data from URL:- http://52.4.75.253/ipdiversity.html 
 110 - 2024-07-18 12:56:21,414 - root - ERROR - Error fetching URL http://52.4.75.253/ipdiversity.html: 404 Client Error: Not Found for url: http://52.4.75.253/ipdiversity.html 
 110 - 2024-07-18 12:56:21,835 - root - ERROR - Error fetching URL http://52.4.75.253/ipdiversity.html: 404 Client Error: Not Found for url: http://52.4.75.253/ipdiversity.html 
 110 - 2024-07-18 12:56:22,254 - root - ERROR - Error fetching URL http://52.4.75.253/ipdiversity.html: 404 Client Error: Not Found for url: http://52.4.75.253/ipdiversity.html 
 112 - 2024-07-18 12:56:22,254 - root - ERROR - Not found IP: 52.4.75.253 after 3 attempts 
 57 - 2024-07-18 12:56:22,254 - root - INFO - Attempting to fetch data from URL:- http://100.25.229.227/ipdiversity.html 
 94 - 2024-07-18 12:56:22,703 - root - WARNING - table data not found for 100.25.229.227 
 57 - 2024-07-18 12:56:22,703 - root - INFO - Attempting to fetch data from URL:- http://18.214.31.251/ipdiversity.html 
 110 - 2024-07-18 12:56:23,119 - root - ERROR - Error fetching URL http://18.214.31.251/ipdiversity.html: 404 Client Error: Not Found for url: http://18.214.31.251/ipdiversity.html 
 110 - 2024-07-18 12:56:23,548 - root - ERROR - Error fetching URL http://18.214.31.251/ipdiversity.html: 404 Client Error: Not Found for url: http://18.214.31.251/ipdiversity.html 
 110 - 2024-07-18 12:56:23,972 - root - ERROR - Error fetching URL http://18.214.31.251/ipdiversity.html: 404 Client Error: Not Found for url: http://18.214.31.251/ipdiversity.html 
 112 - 2024-07-18 12:56:23,973 - root - ERROR - Not found IP: 18.214.31.251 after 3 attempts 
 57 - 2024-07-18 12:56:23,973 - root - INFO - Attempting to fetch data from URL:- http://100.26.71.69/ipdiversity.html 
 94 - 2024-07-18 12:56:24,406 - root - WARNING - table data not found for 100.26.71.69 
 57 - 2024-07-18 12:56:24,406 - root - INFO - Attempting to fetch data from URL:- http://35.169.121.127/ipdiversity.html 
 94 - 2024-07-18 12:56:24,850 - root - WARNING - table data not found for 35.169.121.127 
 57 - 2024-07-18 12:56:24,850 - root - INFO - Attempting to fetch data from URL:- http://34.224.209.90/ipdiversity.html 
 110 - 2024-07-18 12:56:25,274 - root - ERROR - Error fetching URL http://34.224.209.90/ipdiversity.html: 404 Client Error: Not Found for url: http://34.224.209.90/ipdiversity.html 
 110 - 2024-07-18 12:56:25,686 - root - ERROR - Error fetching URL http://34.224.209.90/ipdiversity.html: 404 Client Error: Not Found for url: http://34.224.209.90/ipdiversity.html 
 110 - 2024-07-18 12:56:26,102 - root - ERROR - Error fetching URL http://34.224.209.90/ipdiversity.html: 404 Client Error: Not Found for url: http://34.224.209.90/ipdiversity.html 
 112 - 2024-07-18 12:56:26,102 - root - ERROR - Not found IP: 34.224.209.90 after 3 attempts 
 57 - 2024-07-18 12:56:26,102 - root - INFO - Attempting to fetch data from URL:- http://54.185.87.117/ipdiversity.html 
 110 - 2024-07-18 12:56:26,594 - root - ERROR - Error fetching URL http://54.185.87.117/ipdiversity.html: 404 Client Error: Not Found for url: http://54.185.87.117/ipdiversity.html 
 110 - 2024-07-18 12:56:27,077 - root - ERROR - Error fetching URL http://54.185.87.117/ipdiversity.html: 404 Client Error: Not Found for url: http://54.185.87.117/ipdiversity.html 
 110 - 2024-07-18 12:56:27,558 - root - ERROR - Error fetching URL http://54.185.87.117/ipdiversity.html: 404 Client Error: Not Found for url: http://54.185.87.117/ipdiversity.html 
 112 - 2024-07-18 12:56:27,559 - root - ERROR - Not found IP: 54.185.87.117 after 3 attempts 
 57 - 2024-07-18 12:56:27,559 - root - INFO - Attempting to fetch data from URL:- http://50.112.14.222/ipdiversity.html 
 94 - 2024-07-18 12:56:28,049 - root - WARNING - table data not found for 50.112.14.222 
 57 - 2024-07-18 12:56:28,049 - root - INFO - Attempting to fetch data from URL:- http://18.221.38.141/ipdiversity.html 
 94 - 2024-07-18 12:56:28,500 - root - WARNING - table data not found for 18.221.38.141 
 57 - 2024-07-18 12:56:28,500 - root - INFO - Attempting to fetch data from URL:- http://100.26.71.165/ipdiversity.html 
 110 - 2024-07-18 12:56:28,922 - root - ERROR - Error fetching URL http://100.26.71.165/ipdiversity.html: 404 Client Error: Not Found for url: http://100.26.71.165/ipdiversity.html 
 110 - 2024-07-18 12:56:29,336 - root - ERROR - Error fetching URL http://100.26.71.165/ipdiversity.html: 404 Client Error: Not Found for url: http://100.26.71.165/ipdiversity.html 
 110 - 2024-07-18 12:56:29,761 - root - ERROR - Error fetching URL http://100.26.71.165/ipdiversity.html: 404 Client Error: Not Found for url: http://100.26.71.165/ipdiversity.html 
 112 - 2024-07-18 12:56:29,761 - root - ERROR - Not found IP: 100.26.71.165 after 3 attempts 
 57 - 2024-07-18 12:56:29,761 - root - INFO - Attempting to fetch data from URL:- http://52.207.142.124/ipdiversity.html 
 94 - 2024-07-18 12:56:30,189 - root - WARNING - table data not found for 52.207.142.124 
 57 - 2024-07-18 12:56:30,189 - root - INFO - Attempting to fetch data from URL:- http://3.131.118.98/ipdiversity.html 
 94 - 2024-07-18 12:56:30,637 - root - WARNING - table data not found for 3.131.118.98 
 57 - 2024-07-18 12:56:30,637 - root - INFO - Attempting to fetch data from URL:- http://34.194.47.238/ipdiversity.html 
 94 - 2024-07-18 12:56:31,096 - root - WARNING - table data not found for 34.194.47.238 
 57 - 2024-07-18 12:56:31,096 - root - INFO - Attempting to fetch data from URL:- http://13.52.208.89/ipdiversity.html 
 110 - 2024-07-18 12:56:31,611 - root - ERROR - Error fetching URL http://13.52.208.89/ipdiversity.html: 404 Client Error: Not Found for url: http://13.52.208.89/ipdiversity.html 
 110 - 2024-07-18 12:56:32,137 - root - ERROR - Error fetching URL http://13.52.208.89/ipdiversity.html: 404 Client Error: Not Found for url: http://13.52.208.89/ipdiversity.html 
 110 - 2024-07-18 12:56:32,666 - root - ERROR - Error fetching URL http://13.52.208.89/ipdiversity.html: 404 Client Error: Not Found for url: http://13.52.208.89/ipdiversity.html 
 112 - 2024-07-18 12:56:32,666 - root - ERROR - Not found IP: 13.52.208.89 after 3 attempts 
 57 - 2024-07-18 12:56:32,666 - root - INFO - Attempting to fetch data from URL:- http://35.174.177.194/ipdiversity.html 
 110 - 2024-07-18 12:56:33,095 - root - ERROR - Error fetching URL http://35.174.177.194/ipdiversity.html: 404 Client Error: Not Found for url: http://35.174.177.194/ipdiversity.html 
 110 - 2024-07-18 12:56:33,514 - root - ERROR - Error fetching URL http://35.174.177.194/ipdiversity.html: 404 Client Error: Not Found for url: http://35.174.177.194/ipdiversity.html 
 110 - 2024-07-18 12:56:33,940 - root - ERROR - Error fetching URL http://35.174.177.194/ipdiversity.html: 404 Client Error: Not Found for url: http://35.174.177.194/ipdiversity.html 
 112 - 2024-07-18 12:56:33,940 - root - ERROR - Not found IP: 35.174.177.194 after 3 attempts 
 57 - 2024-07-18 12:56:33,941 - root - INFO - Attempting to fetch data from URL:- http://44.227.217.246/ipdiversity.html 
 94 - 2024-07-18 12:56:34,426 - root - WARNING - table data not found for 44.227.217.246 
 57 - 2024-07-18 12:56:34,426 - root - INFO - Attempting to fetch data from URL:- http://52.200.23.190/ipdiversity.html 
 110 - 2024-07-18 12:56:34,846 - root - ERROR - Error fetching URL http://52.200.23.190/ipdiversity.html: 404 Client Error: Not Found for url: http://52.200.23.190/ipdiversity.html 
 110 - 2024-07-18 12:56:35,263 - root - ERROR - Error fetching URL http://52.200.23.190/ipdiversity.html: 404 Client Error: Not Found for url: http://52.200.23.190/ipdiversity.html 
 110 - 2024-07-18 12:56:35,690 - root - ERROR - Error fetching URL http://52.200.23.190/ipdiversity.html: 404 Client Error: Not Found for url: http://52.200.23.190/ipdiversity.html 
 112 - 2024-07-18 12:56:35,691 - root - ERROR - Not found IP: 52.200.23.190 after 3 attempts 
 57 - 2024-07-18 12:56:35,691 - root - INFO - Attempting to fetch data from URL:- http://18.188.111.143/ipdiversity.html 
 110 - 2024-07-18 12:56:36,132 - root - ERROR - Error fetching URL http://18.188.111.143/ipdiversity.html: 404 Client Error: Not Found for url: http://18.188.111.143/ipdiversity.html 
 110 - 2024-07-18 12:56:36,577 - root - ERROR - Error fetching URL http://18.188.111.143/ipdiversity.html: 404 Client Error: Not Found for url: http://18.188.111.143/ipdiversity.html 
 110 - 2024-07-18 12:56:37,032 - root - ERROR - Error fetching URL http://18.188.111.143/ipdiversity.html: 404 Client Error: Not Found for url: http://18.188.111.143/ipdiversity.html 
 112 - 2024-07-18 12:56:37,032 - root - ERROR - Not found IP: 18.188.111.143 after 3 attempts 
 57 - 2024-07-18 12:56:37,032 - root - INFO - Attempting to fetch data from URL:- http://54.245.192.138/ipdiversity.html 
 94 - 2024-07-18 12:56:37,529 - root - WARNING - table data not found for 54.245.192.138 
 57 - 2024-07-18 12:56:37,529 - root - INFO - Attempting to fetch data from URL:- http://3.142.25.181/ipdiversity.html 
 94 - 2024-07-18 12:56:37,977 - root - WARNING - table data not found for 3.142.25.181 
 57 - 2024-07-18 12:56:37,977 - root - INFO - Attempting to fetch data from URL:- http://35.160.35.153/ipdiversity.html 
 94 - 2024-07-18 12:56:38,530 - root - WARNING - table data not found for 35.160.35.153 
 57 - 2024-07-18 12:56:38,531 - root - INFO - Attempting to fetch data from URL:- http://52.35.121.203/ipdiversity.html 
 102 - 2024-07-18 12:56:48,533 - root - ERROR - timeout url 52.35.121.203, attempt 1 
 102 - 2024-07-18 12:56:58,538 - root - ERROR - timeout url 52.35.121.203, attempt 2 
 102 - 2024-07-18 12:57:08,544 - root - ERROR - timeout url 52.35.121.203, attempt 3 
 57 - 2024-07-18 12:57:08,545 - root - INFO - Attempting to fetch data from URL:- http://18.211.225.162/ipdiversity.html 
 102 - 2024-07-18 12:57:18,552 - root - ERROR - timeout url 18.211.225.162, attempt 1 
 102 - 2024-07-18 12:57:28,559 - root - ERROR - timeout url 18.211.225.162, attempt 2 
 102 - 2024-07-18 12:57:38,567 - root - ERROR - timeout url 18.211.225.162, attempt 3 
 57 - 2024-07-18 12:57:38,567 - root - INFO - Attempting to fetch data from URL:- http://44.240.70.222/ipdiversity.html 
 57 - 2024-07-18 12:57:40,200 - root - INFO - Attempting to fetch data from URL:- http://44.241.37.139/ipdiversity.html 
 57 - 2024-07-18 12:57:41,806 - root - INFO - Attempting to fetch data from URL:- http://35.82.34.159/ipdiversity.html 
 57 - 2024-07-18 12:57:43,378 - root - INFO - Attempting to fetch data from URL:- http://3.12.61.96/ipdiversity.html 
